Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
231,374(f6f39),51.394167,-0.042682,486(73c88),51.367486,-0.025574,3195.5558649403392
232,486(73c88),51.367486,-0.025574,294(63cb4),51.314603,0.033572,7173.34901157935
233,294(63cb4),51.314603,0.033572,359(c0da2),51.312091,-0.099569,9257.991400050021
234,359(c0da2),51.312091,-0.099569,213(fdf68),51.323819,-0.10296,1325.2163886549781
235,213(fdf68),51.323819,-0.10296,258(faea3),51.336951,-0.117062,1758.4591985082284
236,258(faea3),51.336951,-0.117062,195(5b318),51.354449,-0.09645,2415.6110437456227
237,195(5b318),51.354449,-0.09645,355(da0ba),51.355152,-0.099741,241.5291572637183
238,355(da0ba),51.355152,-0.099741,499(b559f),51.359052,-0.142168,2977.762703289838
239,499(b559f),51.359052,-0.142168,218(ead04),51.359704,-0.144756,193.76875886479735
240,218(ead04),51.359704,-0.144756,229(c7b1e),51.371195,-0.10254,3197.2470283254675
241,229(c7b1e),51.371195,-0.10254,375(8f6cc),51.372592,-0.101088,185.1729033077809
242,375(8f6cc),51.372592,-0.101088,575(8d330),51.374063,-0.101933,173.7661190668078
243,575(8d330),51.374063,-0.101933,557(95d5b),51.378124,-0.102799,455.545521262708
244,557(95d5b),51.378124,-0.102799,529(78be7),51.381843,-0.110334,666.6974943275677
245,529(78be7),51.381843,-0.110334,393(bb562),51.378988,-0.097878,920.9187241919346
246,393(bb562),51.378988,-0.097878,126(03f24),51.381824,-0.090905,577.6181005967185
247,126(03f24),51.381824,-0.090905,80(3db46),51.384626,-0.082927,635.3017404243961
248,80(3db46),51.384626,-0.082927,552(e228c),51.392517,-0.0761,997.1522644385385
249,552(e228c),51.392517,-0.0761,535(527ca),51.394462,-0.088855,911.0129119289533
250,535(527ca),51.394462,-0.088855,330(e70a8),51.396996,-0.092042,358.16588752807877
251,330(e70a8),51.396996,-0.092042,383(63f62),51.401212,-0.093635,481.64750929441834
252,383(63f62),51.401212,-0.093635,380(6742c),51.399107,-0.099674,479.8908525078214
253,380(6742c),51.399107,-0.099674,228(a7bac),51.396268,-0.100927,327.4321629089027
254,228(a7bac),51.396268,-0.100927,463(3ba9e),51.398513,-0.11521,1021.8609873947921
255,463(3ba9e),51.398513,-0.11521,105(7367c),51.400817,-0.114785,257.8840479776736
256,105(7367c),51.400817,-0.114785,130(cbe21),51.407325,-0.130895,1331.336525781096
257,130(cbe21),51.407325,-0.130895,220(fd1d4),51.409953,-0.145742,1070.4343110467746
258,220(fd1d4),51.409953,-0.145742,212(ff988),51.405141,-0.165692,1483.5963810724888
259,212(ff988),51.405141,-0.165692,18(e2d42),51.404326,-0.173402,542.4285309005872
260,18(e2d42),51.404326,-0.173402,201(95f4d),51.407393,-0.18093,623.6693963681537
261,201(95f4d),51.407393,-0.18093,530(0b647),51.41913,-0.143774,2888.497298429745
262,530(0b647),51.41913,-0.143774,222(9e57f),51.432096,-0.130689,1703.441958379677
263,222(9e57f),51.432096,-0.130689,484(144e9),51.436987,-0.128346,567.588476330275
264,484(144e9),51.436987,-0.128346,248(2972a),51.433396,-0.104639,1691.1577956958306
