Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
236,283(6389b),51.442223,-0.366033,538(b50ca),51.423432,-0.359871,2132.6811989086314
237,538(b50ca),51.423432,-0.359871,128(5fe9b),51.428772,-0.324134,2547.8963056085277
238,128(5fe9b),51.428772,-0.324134,551(814da),51.429261,-0.311227,896.469954988459
239,551(814da),51.429261,-0.311227,381(3849e),51.411621,-0.299856,2114.023979347429
240,381(3849e),51.411621,-0.299856,57(7713f),51.40768,-0.297572,465.97283201238787
241,57(7713f),51.40768,-0.297572,479(b61cf),51.393407,-0.296205,1589.9158033344493
242,479(b61cf),51.393407,-0.296205,448(e71b5),51.392837,-0.295363,86.19794849427655
243,448(e71b5),51.392837,-0.295363,394(e6000),51.375174,-0.303965,2052.7506221397225
244,394(e6000),51.375174,-0.303965,439(19884),51.367196,-0.298226,972.4581197026747
245,439(19884),51.367196,-0.298226,323(b465f),51.400022,-0.255044,4722.643495561786
246,323(b465f),51.400022,-0.255044,129(824ba),51.358411,-0.21842,5279.154001434331
247,129(824ba),51.358411,-0.21842,491(bd449),51.36049,-0.195055,1638.707055388008
248,491(bd449),51.36049,-0.195055,254(3ff9d),51.364989,-0.192925,521.6660754279249
249,254(3ff9d),51.364989,-0.192925,526(f76fa),51.369471,-0.196627,560.7381790963875
250,526(f76fa),51.369471,-0.196627,219(04f3f),51.387306,-0.188065,2070.279601300868
251,219(04f3f),51.387306,-0.188065,189(0598c),51.393796,-0.204951,1376.0731232354121
252,189(0598c),51.393796,-0.204951,87(ba3e8),51.408918,-0.215178,1825.0274753000551
253,87(ba3e8),51.408918,-0.215178,411(a517b),51.403237,-0.193287,1644.5851928129996
254,411(a517b),51.403237,-0.193287,26(c4459),51.400562,-0.180597,929.1919115003907
255,26(c4459),51.400562,-0.180597,201(95f4d),51.407393,-0.18093,759.9236875500994
256,201(95f4d),51.407393,-0.18093,354(e5200),51.42,-0.176258,1438.7919656857678
257,354(e5200),51.42,-0.176258,572(97951),51.443817,-0.166747,2729.1715642923195
